"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",-0.121283220816031,-0.31700811058338,-0.156211784114504,-0.220172952549354,-0.00998715178302461,-0.0533191240933134,-0.0544172417564483,-0.0246100111613252,-0.111388450103529,-0.0837237568772686,-0.0246667009692727,0.100348687844197,-0.0686547699997405,0.135733487070696,0.0844564031802337,0.12802701996655,-0.0702686824739762
"deficit",-0.187173815736128,0.0592634574674982,-0.115609188685356,-0.173198872403286,-0.177508968023918,-0.106318457538447,-0.0794814562179268,-0.153011339574656,-0.171601440875763,-0.162214997933207,-0.174642243196914,-0.124921412988239,-0.109153477708142,-0.362778954894527,-0.297511913164052,-0.321177427592784,-0.251603244381839
"dtr",-0.0867707748461715,0.0345954350672556,-0.130992440343377,-0.139473765049222,-0.194718823922658,-0.222570735470286,-0.238155708717756,-0.284160545009686,-0.281333083228081,-0.133503743396907,-0.259249257385247,-0.268652626441258,-0.0677917105621823,-0.277823262584166,-0.20982504648567,-0.293765697307985,-0.265407043280273
"pet",-0.087897587254443,0.104759632331162,-0.051355739813194,-0.0884284855275169,-0.166231152252124,-0.206578219264257,-0.249729427799859,-0.337427659051687,-0.183284344565354,-0.114287079566143,-0.202324477258843,-0.174859194674021,-0.0260646131621096,-0.330695876596467,-0.288354135403845,-0.35583831962637,-0.26859651380781
"pre",-0.142170216531865,-0.284145189020646,-0.165034066535932,-0.196862665296261,-0.173331482321019,-0.0285447676638805,-0.310723096660362,0.0259347858865024,-0.112569034248971,-0.270349367491693,-0.11733207849657,-0.0794602862819939,-0.0562775755368055,0.135315122687936,0.030161090885761,-0.0466109803482745,0.07683275794273
"tmn",-0.107997461715545,-0.0236974478491809,-0.0169423260945425,-0.136165687214312,-0.0148105948248493,-0.135133378231075,-0.0276846947311592,-0.0848400574455138,-0.189206153468194,-0.121531711116481,-0.0888837768548394,-0.0970183066852682,-0.0491196111557907,-0.279247552706745,-0.225227078509023,-0.077201935137115,-0.0790224302546235
"tmp",-0.0829280550542444,0.0267147570093939,-0.0454854540073161,-0.0880647600166211,-0.0142915482552834,-0.176358581872739,-0.0737456080970841,-0.147685927054537,-0.232225349966366,-0.127420939123789,-0.131720541343346,-0.158954021177825,-0.0499656299419345,-0.325615028376841,-0.297549976473351,-0.262151273591274,-0.165579355384113
"tmx",-0.0827836959296208,0.0460718093007736,-0.0707210570503114,-0.106915520273816,-0.0646304238466785,-0.199800701708044,-0.170920706988311,-0.191439480818566,-0.239237136954094,-0.136225763764466,-0.163368921366212,-0.199484400096218,-0.0340343334658566,-0.342223338694743,-0.30748871441259,-0.332267553814761,-0.248333433119054
"vap",-0.0666690944227922,-0.081835028759137,-0.0281816454670549,-0.20293047717007,-0.0708738417755774,-0.118100856916241,-0.0682245756748863,-0.0480252162792932,-0.22029761432598,-0.122284154171759,-0.0945051630197164,-0.098272547130939,-0.0223876182636537,-0.335194967086563,-0.145560314477797,-0.0637422532706163,-0.0285690714850081
"wet",-0.101870161688064,-0.296127506385332,-0.141446340697422,-0.130519964642229,-0.0180913691380264,-0.0355193591049038,-0.280972987881407,0.0110431076317834,-0.136771659455685,-0.281399286867291,-0.123106703893771,-0.0514658941250237,-0.0657232347468459,0.152514700084343,0.046621134673084,-0.0107245691119768,0.0921025418263371
"PDSI_prewhiten",-0.145886326967402,-0.318404037784633,-0.11956348594042,-0.0859681014081584,-0.148369492763116,-0.0189673532819478,-0.128262341768097,0.00410237797015945,-0.279059643693685,-0.219810372769679,-0.069480490433542,0.0160948600724499,-0.0550595356123458,0.0933881484357716,0.0864436859821817,0.00656180017391615,0.0693158474510546
