"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",-0.240649260753068,-0.557129841123579,-0.397013385974117,-0.336923308373424,-0.185821955387944,-0.396925215719586,-0.403511614879531,-0.229145152326544,-0.548202480678142,-0.24246665048063,-0.0619322939907481,-0.179338695494517,-0.11226369966733,-0.182807354461361,-0.108839526926365,-0.110205470289973,-0.233685292948079
"deficit",-0.136878742723206,0.0873986726154611,-0.0815247307226901,-0.352767289093439,-0.100983808237859,-0.141830402690936,0.0897760993791094,-0.24806846671701,-0.0702208873355543,-0.034023165978683,-0.281102012591121,-0.163096063825251,-0.165087014392431,-0.297094175060056,-0.243195962053361,-0.0728556024707916,-0.405615053039751
"dtr",-0.166479347096845,-0.0417896677792014,-0.223875757451739,-0.335688515351085,-0.192063491985076,-0.23049244768272,-0.173399682299564,-0.312996385284142,-0.266056882883994,-0.15350259337747,-0.166947275315395,-0.185593502919298,-0.141682765527641,-0.407748687626862,-0.272097248085691,-0.255786673258681,-0.413741578878766
"pet",-0.0555670253139276,0.120948543304277,-0.116531560707452,-0.305930925665023,-0.237498255170187,-0.284444183376749,-0.205484161483255,-0.32271750465983,-0.240947051802002,-0.0424821730724649,-0.251477577381052,-0.186112457519171,-0.22819699978663,-0.352136831792045,-0.192071151717041,-0.316572011280175,-0.241525236677901
"pre",-0.303434500648865,-0.291829284387742,-0.0482252845784195,-0.16879407722415,-0.364932357038134,-0.228566379793443,-0.410792835247365,-0.130893102824211,-0.456680716803383,-0.349495730938843,-0.0484866527978943,-0.0716555280138451,-0.0774121042986156,-0.0834031593173879,-0.0432552521347883,-0.228601339339805,-0.297993810965107
"tmn",-0.02528242108168,-0.127593868818862,-0.114386828227873,-0.173006313827881,-0.23519352547253,-0.332654961876684,-0.332650927089968,-0.0156545551380574,-0.494949855129946,0.00184965641261056,-0.19291945026924,-0.0834608718541186,-0.320190422970918,-0.294261696959476,-0.266571226122745,-0.218924897041899,-0.110340916281761
"tmp",-0.0828867988337217,-0.117460098214079,-0.139372776683907,-0.161326529730195,-0.263997603023275,-0.288041884822363,-0.421735779654578,-0.131445413243737,-0.510110276628955,-0.0377994040560098,-0.195905485098667,-0.107423481537878,-0.284161696056489,-0.241616442394338,-0.253487635858646,-0.244463289493351,-0.110725818127898
"tmx",-0.136559234056797,-0.109670616383743,-0.178429015987867,-0.240912929225762,-0.274818659895518,-0.344133631637869,-0.424931852608278,-0.217028575566912,-0.502577150792455,-0.0739341288375111,-0.216668864584682,-0.140496922641307,-0.239316425213776,-0.262908992258533,-0.189462791105758,-0.229976417969656,-0.212243492263453
"vap",-0.110571384676649,-0.162310323045802,-0.215066076107835,-0.322511242839764,-0.308781041646581,-0.312650820379054,-0.333837787791557,-0.167823306308985,-0.496217567601798,-0.0600507743142817,-0.133308072399007,-0.0894070378932474,-0.122284981453145,-0.379166163300493,-0.27137817589488,-0.179614760733993,-0.131448494747495
"wet",-0.31752882643531,-0.239643948308738,-0.0641942720475977,-0.194421629287269,-0.156190241354004,-0.194063403023538,-0.376421201349042,-0.119520706304786,-0.491095919769903,-0.376320227138796,-0.0484511847148598,-0.0608680222903809,-0.118216836816831,-0.0354155901597114,-0.0586720213478079,-0.210612489580687,-0.245649086836048
"PDSI_prewhiten",-0.382044495001364,-0.282485616520352,0.022136945270301,-0.147676344570461,-0.285431900044229,-0.218482214732368,-0.349023735828949,-0.182135777664749,-0.35931102456332,-0.380662599961614,-0.00554741437859554,-0.0365991112330502,-0.326209400827638,-0.0123560100584031,-0.0621835897576382,-0.132590178693235,-0.10142958525182
