"Summary_type","Species","PCP","PDSI","PHDI","PMDI","SP01","SP02","SP03","SP06","SP09","SP12","SP24","TAVG","TMAX","TMIN","ZNDX"
"Sum of all absolute correlations","All",20.7806663858291,25.3792939838416,27.8546837201015,27.3676348988832,21.5099924428361,22.4070285868191,23.3976961938267,23.2620354125474,22.89040986164,23.4422946824098,27.8256396991992,19.353265277538,20.8487093439215,18.6351738262403,22.6373933935641
"Sum of all absolute correlations","caco",1.60081037206845,2.92191000945006,3.09032794918331,3.07059350217186,1.67009911843562,2.05458355725663,2.0899818201444,2.15586693163411,2.35669080164071,2.35063194499136,2.99690609835007,1.61630316036487,1.91659236802814,1.1512789530465,2.11409053326588
"Sum of all absolute correlations","cagl",1.18780872520301,1.2710161308469,1.54065667628748,1.40374390467787,1.3470845013302,1.15909079567901,1.28723300204612,1.29469611355767,1.2303674243577,1.19145510004044,1.6116882142443,0.99696391059943,0.984816302215543,1.35029275021287,1.25831580837512
"Sum of all absolute correlations","caov",1.10979377650361,1.05288224000732,1.18415905781447,1.17147964004449,1.17362217648297,0.870092704968232,0.88172402328591,0.697009089761444,0.692796937366703,0.943133638186875,2.66028456842212,1.23473836983133,0.93571917668026,1.53545659754394,0.974259497715702
"Sum of all absolute correlations","cato",1.52219139247842,1.37712087080462,1.53405052387415,1.56893652170021,1.37205126075386,1.34505578993834,1.17380959181489,1.15660515069553,1.16406234011316,1.06090003267187,1.45599418517834,1.21267111334835,1.49613645426237,0.948023803384829,1.55463527508853
"Sum of all absolute correlations","fagr",1.46781927060002,1.67938144542237,1.67671446299764,1.81553663464684,1.60788679717901,1.59087900227113,1.69988705796612,1.41667627296389,1.34631465551856,1.38766018656788,0.715326912275995,1.57808278814075,1.71039272101818,1.40229675860679,1.54963429268153
"Sum of all absolute correlations","fram",1.90246305241962,2.53617936353108,2.87038235061289,2.66992518918363,1.84903266994761,2.03372349680319,2.27250293205436,2.37253516776752,2.59441612900156,2.76122465817748,1.75578919769962,1.26356429874663,1.50753859485147,1.12174087092709,2.20500201327217
"Sum of all absolute correlations","frni",1.43122913808125,0.972441760563708,1.86158641666044,1.69642093879466,1.29886258026,1.01371122476562,1.42721711001099,1.69467113264932,1.64402478455679,1.58225894283255,1.81811970753179,1.72245550922257,1.84663175416179,1.43276134496739,1.38961407857716
"Sum of all absolute correlations","juni",1.66739873736272,2.16384517940537,1.88301849483381,2.0168081543503,1.82687508208529,2.20447519752151,2.21739984913798,1.90841514871563,1.50658767545571,1.32740021660351,0.89383611126068,1.35974682908645,1.61940291169432,1.04745274121811,1.93650832251745
"Sum of all absolute correlations","litu",1.79316350390912,3.63741481456291,3.80920361915016,3.64996163264233,2.07126999193204,2.36652864833393,2.50778942538304,2.69552475358519,2.79697321954775,2.88447101070902,3.58834221093787,1.30015093903288,1.6440220670776,1.10089345743882,2.2071759882996
"Sum of all absolute correlations","pist",1.48207470525578,1.42788444528067,1.37293577244018,1.31110563993065,1.43342691066978,1.6748051923694,1.91838758836288,1.48769920680048,1.1652587707694,0.93071880826143,1.47529212548001,1.57925942831725,1.39387034248587,1.85211266762372,1.45875096584395
"Sum of all absolute correlations","qual",1.39721198962335,1.43539668362524,1.70419823126605,1.71526050526982,1.44255926561675,1.41578923449265,1.46042516466539,1.44030698806763,1.38888582281217,1.70450875877706,2.72137730009967,1.30049603941816,1.3756181895672,1.56627609633311,1.39144331009741
"Sum of all absolute correlations","qupr",1.40326292773962,1.86471881493277,2.10193731635309,2.08187784470355,1.46580761668666,1.54382439367498,1.59513238005036,1.74555497657351,1.73612800589388,2.08975354223855,2.93216911777205,1.25340951741595,1.30338208720507,1.18902668419287,1.48682938388553
"Sum of all absolute correlations","quru",1.25750197711372,1.27892295149548,1.48725822907135,1.45738214968892,1.22241116748856,1.26404851917104,1.07578828820941,1.32536672788893,1.2822871889151,1.49312423116259,1.75021377374103,1.52052021510451,1.45871811720336,1.65294201758627,1.27654759680721
"Sum of all absolute correlations","quve",1.55793681747038,1.76017927391306,1.73825461955651,1.73860264107806,1.72900330396771,1.8704208295734,1.79041796069481,1.87110775188652,1.98561610569087,1.73505361118921,1.45030017620561,1.41490315890892,1.65586825747037,1.28461908315803,1.83458632713686
"Count of Significant correlations","All",32,45,53,49,32,30,37,39,35,37,32,24,32,14,32
"Count of Significant correlations","caco",3,10,10,9,3,5,6,6,6,9,3,3,4,1,4
"Count of Significant correlations","cagl",1,1,3,3,1,0,0,1,1,1,0,0,0,0,1
"Count of Significant correlations","caov",1,0,0,0,1,1,0,0,0,0,1,0,1,0,1
"Count of Significant correlations","cato",3,1,2,1,2,1,0,0,0,0,0,1,2,1,2
"Count of Significant correlations","fagr",4,3,3,3,4,3,3,2,0,2,0,3,3,0,3
"Count of Significant correlations","fram",2,6,6,7,2,3,7,5,8,9,5,2,2,0,2
"Count of Significant correlations","frni",0,2,4,2,0,1,2,4,4,0,1,4,4,2,1
"Count of Significant correlations","juni",3,4,3,3,4,4,4,3,3,2,0,1,4,1,3
"Count of Significant correlations","litu",3,9,11,9,4,4,5,6,6,6,4,2,4,1,4
"Count of Significant correlations","pist",2,0,0,1,3,0,1,0,1,0,0,2,2,4,1
"Count of Significant correlations","qual",3,2,3,2,1,1,2,3,1,2,4,1,1,1,2
"Count of Significant correlations","qupr",2,4,6,7,2,3,2,4,2,6,14,0,1,0,3
"Count of Significant correlations","quru",2,0,0,0,2,1,1,1,0,0,0,3,2,2,2
"Count of Significant correlations","quve",3,3,2,2,3,3,4,4,3,0,0,2,2,1,3
"Sum of absolute significant correlations","All",6.51434645824361,10.927862547299,12.6341793142948,12.0892269560884,6.90192948197785,7.42768201998128,9.14322562908844,9.11862991604822,7.31533261548625,8.01412343035988,6.85951857573049,5.18823000344258,7.42133024367819,2.93293133362213,7.48726228435881
"Sum of absolute significant correlations","caco",0.588424028488602,2.24888230236465,2.51360723878996,2.26199291493398,0.622319587845215,1.15557292618223,1.44016623737222,1.38312146393907,1.16762429185219,1.83603322237038,0.605629560440848,0.735804053996652,1.0673572541708,0.201917969081663,0.975656265624534
"Sum of absolute significant correlations","cagl",0.185380353297268,0.158007533964489,0.529632033123854,0.479162193179648,0.181631305656933,NA,NA,0.214175199409537,0.163534576546092,0.144261372337035,NA,NA,NA,NA,0.199086749247978
"Sum of absolute significant correlations","caov",0.181321936572456,NA,NA,NA,0.184006921728035,0.176441404886682,NA,NA,NA,NA,0.234578584160947,NA,0.208668747354282,NA,0.144294043307132
"Sum of absolute significant correlations","cato",0.470827669435448,0.200307359358427,0.341602846837321,0.182403485376539,0.35463150086713,0.256488870577309,NA,NA,NA,NA,NA,0.209661613726094,0.388130762314181,0.182715517590694,0.436045388865339
"Sum of absolute significant correlations","fagr",0.784216121713369,0.770139633535926,0.799174408762215,0.834288672648178,0.815899234004757,0.675676244947817,0.716251564469111,0.495440517791113,NA,0.3961334754298,NA,0.628241408759164,0.758987761214107,NA,0.697620223924313
"Sum of absolute significant correlations","fram",0.489832484200863,1.45857727690571,1.53319155892788,1.68276225238567,0.488897416201996,0.714346514487297,1.52790283760526,1.26074667806773,1.59986176778068,1.98296530316916,1.15822800459267,0.397805458514006,0.499518361812989,NA,0.540539807229469
"Sum of absolute significant correlations","frni",NA,0.325693215719234,0.806116453827995,0.49450010280833,NA,0.224815407790745,0.463631082233035,0.720168401155231,0.643171112161636,NA,0.173849912245847,0.838129994993087,0.833768218888259,0.461482063747118,0.224407374139213
