"Climate_data","variable","month","ANPP_response"
"CRU_SCBI_1901_2014","cld","curr.apr",-0.0870524363013124
"CRU_SCBI_1901_2014","cld","curr.aug",-0.0523087611342162
"CRU_SCBI_1901_2014","cld","curr.feb",-0.0231439948778473
"CRU_SCBI_1901_2014","cld","curr.jan",-0.0072543158690816
"CRU_SCBI_1901_2014","cld","curr.jul",0.168752524697394
"CRU_SCBI_1901_2014","cld","curr.jun",0.181484506274118
"CRU_SCBI_1901_2014","cld","curr.mar",0.0954028651305616
"CRU_SCBI_1901_2014","cld","curr.may",0.198949076610775
"CRU_SCBI_1901_2014","cld","prev.apr",0.102894033607741
"CRU_SCBI_1901_2014","cld","prev.aug",0.107458574915474
"CRU_SCBI_1901_2014","cld","prev.dec",0.0720742918934276
"CRU_SCBI_1901_2014","cld","prev.jul",-0.163331333746503
"CRU_SCBI_1901_2014","cld","prev.jun",-0.101038306413131
"CRU_SCBI_1901_2014","cld","prev.may",-0.258124244445112
"CRU_SCBI_1901_2014","cld","prev.nov",0.198950613123874
"CRU_SCBI_1901_2014","cld","prev.oct",0.0276262551418807
"CRU_SCBI_1901_2014","cld","prev.sep",0.0133112107342413
"CRU_SCBI_1901_2014","drt","curr.apr",0.164971795189022
"CRU_SCBI_1901_2014","drt","curr.aug",-0.101909943847895
"CRU_SCBI_1901_2014","drt","curr.feb",-0.0108096435143273
"CRU_SCBI_1901_2014","drt","curr.jan",0.0960429979291534
"CRU_SCBI_1901_2014","drt","curr.jul",-0.113356432498138
"CRU_SCBI_1901_2014","drt","curr.jun",-0.0220196003176451
"CRU_SCBI_1901_2014","drt","curr.mar",-0.103082204587751
"CRU_SCBI_1901_2014","drt","curr.may",-0.0618166041137851
"CRU_SCBI_1901_2014","drt","prev.apr",6.15554896094255e-06
"CRU_SCBI_1901_2014","drt","prev.aug",0.00553762432845679
"CRU_SCBI_1901_2014","drt","prev.dec",-0.167663515244708
"CRU_SCBI_1901_2014","drt","prev.jul",0.0641892986041066
"CRU_SCBI_1901_2014","drt","prev.jun",0.0400396560153022
"CRU_SCBI_1901_2014","drt","prev.may",0.162830627458864
"CRU_SCBI_1901_2014","drt","prev.nov",-0.0828411328632516
"CRU_SCBI_1901_2014","drt","prev.oct",-0.0503554707240415
"CRU_SCBI_1901_2014","drt","prev.sep",-0.13165590035846
"CRU_SCBI_1901_2014","frs","curr.apr",-0.0981453860996292
"CRU_SCBI_1901_2014","frs","curr.feb",0.0388208537947051
"CRU_SCBI_1901_2014","frs","curr.jan",0.0166646752899026
"CRU_SCBI_1901_2014","frs","curr.mar",-0.0609218395114074
"CRU_SCBI_1901_2014","frs","curr.may",0.0245811631528264
"CRU_SCBI_1901_2014","frs","prev.dec",-0.0846293922988391
"CRU_SCBI_1901_2014","frs","prev.nov",-3.15919506233952e-06
"CRU_SCBI_1901_2014","frs","prev.oct",-0.099109055773232
"CRU_SCBI_1901_2014","pet","curr.apr",0.137932757364262
"CRU_SCBI_1901_2014","pet","curr.aug",-0.06362945434002
"CRU_SCBI_1901_2014","pet","curr.feb",-0.020998910922709
"CRU_SCBI_1901_2014","pet","curr.jan",0.00321957266759917
"CRU_SCBI_1901_2014","pet","curr.jul",-0.155593660909718
"CRU_SCBI_1901_2014","pet","curr.jun",-0.0586684513062078
"CRU_SCBI_1901_2014","pet","curr.mar",-0.0574376147591227
"CRU_SCBI_1901_2014","pet","curr.may",-0.194031423013144
"CRU_SCBI_1901_2014","pet","prev.apr",-0.0545355595605454
"CRU_SCBI_1901_2014","pet","prev.aug",-0.0551368937983442
"CRU_SCBI_1901_2014","pet","prev.dec",0.058679469773322
"CRU_SCBI_1901_2014","pet","prev.jul",0.132325747286499
"CRU_SCBI_1901_2014","pet","prev.jun",0.0886597302133727
"CRU_SCBI_1901_2014","pet","prev.may",0.182465759631638
"CRU_SCBI_1901_2014","pet","prev.nov",-0.151157798861097
"CRU_SCBI_1901_2014","pet","prev.oct",0.0408903841119797
"CRU_SCBI_1901_2014","pet","prev.sep",-0.107916339873741
"CRU_SCBI_1901_2014","pet_sum","curr.apr",0.134674417263249
"CRU_SCBI_1901_2014","pet_sum","curr.aug",-0.0620998892399889
"CRU_SCBI_1901_2014","pet_sum","curr.feb",-0.0102426758666111
"CRU_SCBI_1901_2014","pet_sum","curr.jan",-0.00303238245810528
"CRU_SCBI_1901_2014","pet_sum","curr.jul",-0.161355535831012
"CRU_SCBI_1901_2014","pet_sum","curr.jun",-0.0571786893035839
"CRU_SCBI_1901_2014","pet_sum","curr.mar",-0.0570927279465937
"CRU_SCBI_1901_2014","pet_sum","curr.may",-0.19573939933554
"CRU_SCBI_1901_2014","pet_sum","prev.apr",-0.0514929474702759
"CRU_SCBI_1901_2014","pet_sum","prev.aug",-0.0535953495958533
"CRU_SCBI_1901_2014","pet_sum","prev.dec",0.062722818645494
"CRU_SCBI_1901_2014","pet_sum","prev.jul",0.136766315920437
"CRU_SCBI_1901_2014","pet_sum","prev.jun",0.0876495247596825
"CRU_SCBI_1901_2014","pet_sum","prev.may",0.184800459329639
"CRU_SCBI_1901_2014","pet_sum","prev.nov",-0.15255844123567
"CRU_SCBI_1901_2014","pet_sum","prev.oct",0.0416285651835964
"CRU_SCBI_1901_2014","pet_sum","prev.sep",-0.115235157152875
"CRU_SCBI_1901_2014","pre","curr.apr",0.100135684435802
"CRU_SCBI_1901_2014","pre","curr.aug",0.183108153877571
"CRU_SCBI_1901_2014","pre","curr.feb",0.0167996540787402
"CRU_SCBI_1901_2014","pre","curr.jan",-0.150800045531454
"CRU_SCBI_1901_2014","pre","curr.jul",0.224019964179801
"CRU_SCBI_1901_2014","pre","curr.jun",0.233012620734448
"CRU_SCBI_1901_2014","pre","curr.mar",-7.68266216250903e-06
"CRU_SCBI_1901_2014","pre","curr.may",0.202774168907363
"CRU_SCBI_1901_2014","pre","prev.apr",-0.0207061544814583
"CRU_SCBI_1901_2014","pre","prev.aug",0.161033246228006
"CRU_SCBI_1901_2014","pre","prev.dec",0.0368916387176454
"CRU_SCBI_1901_2014","pre","prev.jul",-0.202740379493329
"CRU_SCBI_1901_2014","pre","prev.jun",-0.0698718917903398
"CRU_SCBI_1901_2014","pre","prev.may",-0.198783422950916
"CRU_SCBI_1901_2014","pre","prev.nov",0.0597060786028843
"CRU_SCBI_1901_2014","pre","prev.oct",-0.0811412691086061
"CRU_SCBI_1901_2014","pre","prev.sep",0.0893843665083582
"CRU_SCBI_1901_2014","tmn","curr.apr",0.11304925167314
"CRU_SCBI_1901_2014","tmn","curr.aug",0.00205500978377987
"CRU_SCBI_1901_2014","tmn","curr.feb",-0.0338329844976741
"CRU_SCBI_1901_2014","tmn","curr.jan",-0.00805374594206788
"CRU_SCBI_1901_2014","tmn","curr.jul",-0.00708353074117294
"CRU_SCBI_1901_2014","tmn","curr.jun",-0.0808886448889897
"CRU_SCBI_1901_2014","tmn","curr.mar",0.0601400123266698
"CRU_SCBI_1901_2014","tmn","curr.may",-0.204689440764782
"CRU_SCBI_1901_2014","tmn","prev.apr",0.00138604409196499
"CRU_SCBI_1901_2014","tmn","prev.aug",0.102097131736361
"CRU_SCBI_1901_2014","tmn","prev.dec",0.081533093080376
"CRU_SCBI_1901_2014","tmn","prev.jul",0.0515278321037315
"CRU_SCBI_1901_2014","tmn","prev.jun",0.0398697141469428
"CRU_SCBI_1901_2014","tmn","prev.may",-0.00410069148856183
"CRU_SCBI_1901_2014","tmn","prev.nov",0.0106790969108495
"CRU_SCBI_1901_2014","tmn","prev.oct",0.0457610021185659
"CRU_SCBI_1901_2014","tmn","prev.sep",-0.00641414156180763
"CRU_SCBI_1901_2014","tmp","curr.apr",0.170121168306932
"CRU_SCBI_1901_2014","tmp","curr.aug",-0.047326644995133
"CRU_SCBI_1901_2014","tmp","curr.feb",-0.0430244380124596
"CRU_SCBI_1901_2014","tmp","curr.jan",0.0402518058035879
"CRU_SCBI_1901_2014","tmp","curr.jul",-0.0862690743574088
"CRU_SCBI_1901_2014","tmp","curr.jun",-0.119811377745424
"CRU_SCBI_1901_2014","tmp","curr.mar",0.00662580642842699
"CRU_SCBI_1901_2014","tmp","curr.may",-0.197764775027717
"CRU_SCBI_1901_2014","tmp","prev.apr",0.0249411829580011
"CRU_SCBI_1901_2014","tmp","prev.aug",0.0934164253479441
"CRU_SCBI_1901_2014","tmp","prev.dec",0.0220929825740054
"CRU_SCBI_1901_2014","tmp","prev.jul",0.0590261338864201
"CRU_SCBI_1901_2014","tmp","prev.jun",0.0775756846213025
"CRU_SCBI_1901_2014","tmp","prev.may",0.0473960895184819
"CRU_SCBI_1901_2014","tmp","prev.nov",-0.038615216093841
"CRU_SCBI_1901_2014","tmp","prev.oct",-0.00137252839142465
"CRU_SCBI_1901_2014","tmp","prev.sep",-0.0495757673606475
"CRU_SCBI_1901_2014","tmx","curr.apr",0.170456214391116
