"Species","coef","significant","ci.lower","ci.upper","variable","month"
"CACO",0.0276110737503634,FALSE,-0.16368880410001,0.190595632057197,"Tmin","prev.apr"
"CACO",-0.133314200835954,FALSE,-0.341339184286652,0.0683361502761543,"Tmin","prev.may"
"CACO",0.0434425060153113,FALSE,-0.183181879988535,0.306241078394489,"Tmin","prev.jun"
"CACO",0.0462044330034293,FALSE,-0.160937660789028,0.22932232769278,"Tmin","prev.jul"
"CACO",0.0374990313380759,FALSE,-0.187508183465147,0.264313874818285,"Tmin","prev.aug"
"CACO",-0.0253484049700056,FALSE,-0.201101027327606,0.158229215976133,"Tmin","prev.sep"
"CACO",-0.0327708903308485,FALSE,-0.19744894261211,0.1429367666267,"Tmin","prev.oct"
"CACO",0.0183272834705586,FALSE,-0.19618536476206,0.2272277494705,"Tmin","prev.nov"
"CACO",0.0905727002875719,FALSE,-0.131595793579412,0.305232592745699,"Tmin","prev.dec"
"CACO",0.0336721157289948,FALSE,-0.162069533254329,0.216469477865018,"Tmin","curr.jan"
"CACO",-0.00488426628728583,FALSE,-0.163332286438497,0.178242212506177,"Tmin","curr.feb"
"CACO",-0.067991762165907,FALSE,-0.261299683189896,0.115048549489812,"Tmin","curr.mar"
"CACO",-0.0788650020036684,FALSE,-0.270007971262661,0.107867025995631,"Tmin","curr.apr"
"CACO",-0.134575748233359,FALSE,-0.3106238137201,0.0339921176370634,"Tmin","curr.may"
"CACO",-0.188366237243763,TRUE,-0.370476642275618,-0.0122965052794504,"Tmin","curr.jun"
"CACO",-0.0244960110905266,FALSE,-0.236813426825899,0.200956858935913,"Tmin","curr.jul"
"CACO",0.0463956251693937,FALSE,-0.140973978048424,0.221729601197402,"Tmin","curr.aug"
"CACO",0.0728317256524158,FALSE,-0.121661744621845,0.282571068053634,"Tmean","prev.apr"
"CACO",-0.080306223021029,FALSE,-0.297533081993238,0.136083088917408,"Tmean","prev.may"
"CACO",0.051871379691781,FALSE,-0.194063909464455,0.290816079980112,"Tmean","prev.jun"
"CACO",0.0737906207362386,FALSE,-0.1013773323518,0.281088818382492,"Tmean","prev.jul"
"CACO",-0.109151972688124,FALSE,-0.329414720401052,0.115618955036189,"Tmean","prev.aug"
"CACO",-0.0701777255107622,FALSE,-0.26854804930746,0.107598387644562,"Tmean","prev.sep"
"CACO",-0.0917080837417907,FALSE,-0.2484464507674,0.0947117260082908,"Tmean","prev.oct"
"CACO",-0.00797931905350082,FALSE,-0.239807804871086,0.190056863973466,"Tmean","prev.nov"
"CACO",0.00382911532255509,FALSE,-0.203036321784552,0.21923791283841,"Tmean","prev.dec"
"CACO",0.0669020105113572,FALSE,-0.13574647409958,0.261071123225674,"Tmean","curr.jan"
"CACO",-0.0173146080889617,FALSE,-0.198686008204867,0.170635167821688,"Tmean","curr.feb"
"CACO",-0.155682067508483,FALSE,-0.358774461357398,0.0343648286149593,"Tmean","curr.mar"
"CACO",0.0418414875753616,FALSE,-0.189540338133942,0.265532222331946,"Tmean","curr.apr"
"CACO",-0.136861915750896,FALSE,-0.3120766002949,0.05340643694166,"Tmean","curr.may"
"CACO",-0.210184959965893,TRUE,-0.395093134657913,-0.0253328642444573,"Tmean","curr.jun"
"CACO",-0.120246353241795,FALSE,-0.325910737816934,0.0914221476106641,"Tmean","curr.jul"
"CACO",-0.0167991396229258,FALSE,-0.224552184232585,0.165207525640451,"Tmean","curr.aug"
"CACO",0.0762920526412287,FALSE,-0.142749995719178,0.268353219060126,"Tmax","prev.apr"
"CACO",0.00162528563472244,FALSE,-0.212900634184231,0.222963767008473,"Tmax","prev.may"
"CACO",0.0956662915990352,FALSE,-0.14854952305812,0.312800608268505,"Tmax","prev.jun"
"CACO",0.0859129820921704,FALSE,-0.0802202715658095,0.290676052613071,"Tmax","prev.jul"
"CACO",-0.225399306632515,TRUE,-0.435966608704105,-0.0436375393738505,"Tmax","prev.aug"
"CACO",-0.079506374371724,FALSE,-0.307111850281658,0.0979773756518611,"Tmax","prev.sep"
"CACO",-0.0840726943314771,FALSE,-0.293504915902896,0.149139228824331,"Tmax","prev.oct"
"CACO",-0.0244279800200957,FALSE,-0.231536932471388,0.190440207916138,"Tmax","prev.nov"
"CACO",-0.0628305823157831,FALSE,-0.259554050221572,0.164116619422723,"Tmax","prev.dec"
"CACO",0.0542593341681656,FALSE,-0.164158873328284,0.230730852711068,"Tmax","curr.jan"
